number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
10,-0.6726217709377724,2025-07-20 20:08:35.969925,2025-07-20 20:08:42.008198,0 days 00:00:06.038273,0.9630659181130071,0.848068981182222,0.021346533494448247,0.2704729722717779,5,3,150,4.3444691085504505,3.678908815130513e-06,0.8866896138540137,"[-0.45387038438797306, -0.6066205837396642, -0.7211524971985231, -0.7907055171647697, -0.7907598721979319]",0.12842424951135434,"{'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.2704729722717779, 'subsample': 0.8866896138540137, 'colsample_bytree': 0.848068981182222, 'colsample_bylevel': 0.9630659181130071, 'reg_alpha': 4.3444691085504505, 'reg_lambda': 3.678908815130513e-06, 'min_child_weight': 3, 'gamma': 0.021346533494448247, 'random_state': 42}",COMPLETE
11,-0.5040652126824046,2025-07-20 20:08:42.010280,2025-07-20 20:08:49.992533,0 days 00:00:07.982253,0.744858923335037,0.939930449168694,4.805653261658784e-06,0.08240472437384992,8,1,80,0.000599958321451196,1.7912366914369137e-06,0.8368507714294098,"[-0.4122839561257015, -0.5168836194865767, -0.4257175822354507, -0.6308602607318787, -0.5345806448324153]",0.07966760648337241,"{'n_estimators': 80, 'max_depth': 8, 'learning_rate': 0.08240472437384992, 'subsample': 0.8368507714294098, 'colsample_bytree': 0.939930449168694, 'colsample_bylevel': 0.744858923335037, 'reg_alpha': 0.000599958321451196, 'reg_lambda': 1.7912366914369137e-06, 'min_child_weight': 1, 'gamma': 4.805653261658784e-06, 'random_state': 42}",COMPLETE
12,-0.5696072907011123,2025-07-20 20:08:49.993533,2025-07-20 20:08:51.532214,0 days 00:00:01.538681,0.9862778301767895,0.8804650381575039,1.1415897581582742e-08,0.29283225933783363,8,2,70,0.0004686094248233635,3.841105485827389e-06,0.8824879580256776,"[-0.4471264799869516, -0.6006401609161109, -0.5970691987169249, -0.5657240732889275, -0.6374765405966469]",0.06533002200780402,"{'n_estimators': 70, 'max_depth': 8, 'learning_rate': 0.29283225933783363, 'subsample': 0.8824879580256776, 'colsample_bytree': 0.8804650381575039, 'colsample_bylevel': 0.9862778301767895, 'reg_alpha': 0.0004686094248233635, 'reg_lambda': 3.841105485827389e-06, 'min_child_weight': 2, 'gamma': 1.1415897581582742e-08, 'random_state': 42}",COMPLETE
13,-0.5060815903220653,2025-07-20 20:08:51.533209,2025-07-20 20:08:55.530989,0 days 00:00:03.997780,0.7925032587634266,0.7988341574443409,2.7845086241459503e-06,0.06839632501502325,7,3,120,0.0031131167282085685,9.543430571621056e-06,0.7959452193979423,"[-0.3687206912695595, -0.4804254638600597, -0.45051407389829445, -0.5578659765550091, -0.6728817460274039]",0.10307076879106032,"{'n_estimators': 120, 'max_depth': 7, 'learning_rate': 0.06839632501502325, 'subsample': 0.7959452193979423, 'colsample_bytree': 0.7988341574443409, 'colsample_bylevel': 0.7925032587634266, 'reg_alpha': 0.0031131167282085685, 'reg_lambda': 9.543430571621056e-06, 'min_child_weight': 3, 'gamma': 2.7845086241459503e-06, 'random_state': 42}",COMPLETE
14,-0.5601102686339829,2025-07-20 20:08:55.531984,2025-07-20 20:08:56.847050,0 days 00:00:01.315066,0.8353826701923828,0.9281889012746769,0.0027842140130293113,0.11850629707735309,9,1,50,7.590806034573108e-05,1.0786094641337822e-08,0.9923235235297375,"[-0.44906255932050365, -0.5283435254794314, -0.5670414112309391, -0.6343638695904209, -0.6217399775486196]",0.06738038101408801,"{'n_estimators': 50, 'max_depth': 9, 'learning_rate': 0.11850629707735309, 'subsample': 0.9923235235297375, 'colsample_bytree': 0.9281889012746769, 'colsample_bylevel': 0.8353826701923828, 'reg_alpha': 7.590806034573108e-05, 'reg_lambda': 1.0786094641337822e-08, 'min_child_weight': 1, 'gamma': 0.0027842140130293113, 'random_state': 42}",COMPLETE
15,-0.4978938034557155,2025-07-20 20:08:56.848435,2025-07-20 20:09:05.727147,0 days 00:00:08.878712,0.6083654265933616,0.6018960478612356,2.166533034626442e-05,0.19354577262421846,6,3,150,1.1559054453054102e-08,5.3050142999733e-05,0.9244062001864684,"[-0.45841405696478416, -0.36264641282291643, -0.43301538684300556, -0.6262391282373263, -0.609154032410545]",0.10286989543935558,"{'n_estimators': 150, 'max_depth': 6, 'learning_rate': 0.19354577262421846, 'subsample': 0.9244062001864684, 'colsample_bytree': 0.6018960478612356, 'colsample_bylevel': 0.6083654265933616, 'reg_alpha': 1.1559054453054102e-08, 'reg_lambda': 5.3050142999733e-05, 'min_child_weight': 3, 'gamma': 2.166533034626442e-05, 'random_state': 42}",COMPLETE
16,-0.7778843068323873,2025-07-20 20:09:05.729139,2025-07-20 20:09:08.340441,0 days 00:00:02.611302,0.7721808331614443,0.8435833121598418,4.3312615038474224e-07,0.10858797798076482,8,10,70,0.015320050214655337,0.016109046194566698,0.7552196466063223,"[-0.5973214946441138, -0.6956433901241763, -0.927658711557113, -0.8349443476774885, -0.8338535901590447]",0.11677951770266465,"{'n_estimators': 70, 'max_depth': 8, 'learning_rate': 0.10858797798076482, 'subsample': 0.7552196466063223, 'colsample_bytree': 0.8435833121598418, 'colsample_bylevel': 0.7721808331614443, 'reg_alpha': 0.015320050214655337, 'reg_lambda': 0.016109046194566698, 'min_child_weight': 10, 'gamma': 4.3312615038474224e-07, 'random_state': 42}",COMPLETE
17,-0.48516968163534724,2025-07-20 20:09:08.342438,2025-07-20 20:09:10.333091,0 days 00:00:01.990653,0.8679329266895621,0.9857500057783899,0.0013968817216229142,0.04263494650162085,4,2,100,2.7223239687749622e-05,3.4209876534185466e-07,0.8102576013341859,"[-0.42771904403288713, -0.45589181105315235, -0.44666701638579975, -0.5752920919225707, -0.5202784447823262]",0.05476294145453652,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.04263494650162085, 'subsample': 0.8102576013341859, 'colsample_bytree': 0.9857500057783899, 'colsample_bylevel': 0.8679329266895621, 'reg_alpha': 2.7223239687749622e-05, 'reg_lambda': 3.4209876534185466e-07, 'min_child_weight': 2, 'gamma': 0.0013968817216229142, 'random_state': 42}",COMPLETE
18,-0.565835177219076,2025-07-20 20:09:10.334091,2025-07-20 20:09:11.493474,0 days 00:00:01.159383,0.9519650792112573,0.9965108784574399,0.0015318836595711338,0.04302553031342479,4,4,100,4.1000211242318023e-07,2.443130591221835e-07,0.6805454483691531,"[-0.40847835063090865, -0.4872378317656371, -0.4727920952373262, -0.7481070360609918, -0.712560572400516]",0.13736600802798735,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.04302553031342479, 'subsample': 0.6805454483691531, 'colsample_bytree': 0.9965108784574399, 'colsample_bylevel': 0.9519650792112573, 'reg_alpha': 4.1000211242318023e-07, 'reg_lambda': 2.443130591221835e-07, 'min_child_weight': 4, 'gamma': 0.0015318836595711338, 'random_state': 42}",COMPLETE
19,-0.6104412618744703,2025-07-20 20:09:11.494471,2025-07-20 20:09:13.011552,0 days 00:00:01.517081,0.9943827893649348,0.7616675016944651,0.66248266359638,0.02179474749865448,4,2,130,3.569187392361628e-05,6.7891871542277356,0.8837143486793475,"[-0.4623656100636165, -0.5347708724408037, -0.663997749625711, -0.7401077952363684, -0.6509642820058522]",0.09897093402728034,"{'n_estimators': 130, 'max_depth': 4, 'learning_rate': 0.02179474749865448, 'subsample': 0.8837143486793475, 'colsample_bytree': 0.7616675016944651, 'colsample_bylevel': 0.9943827893649348, 'reg_alpha': 3.569187392361628e-05, 'reg_lambda': 6.7891871542277356, 'min_child_weight': 2, 'gamma': 0.66248266359638, 'random_state': 42}",COMPLETE
