feature,gain,permutation_mean,permutation_std
Na2O,0.9772561192512512,0.0,0.0
MgO,5.6124773025512695,0.005882352941176494,0.008574929257125457
Al2O3,1.824165940284729,0.002941176470588225,0.0036021907982105436
SiO2,4.256053447723389,0.0014705882352941124,0.002941176470588225
K2O,2.298795223236084,0.032352941176470584,0.00588235294117645
CaO,1.8876755237579346,0.0014705882352941124,0.002941176470588225
Fe2O3,2.6112775802612305,0.0382352941176471,0.014257881933577438
As2O3,1.2660152912139893,0.0,0.0
MnO,2.9421656131744385,0.03382352941176472,0.009974014681066557
CuO,1.525464653968811,0.005882352941176472,0.005502437333491106
ZnO,1.7326059341430664,-0.00588235294117645,0.007204381596421085
PbO2,1.4416950941085815,0.005882352941176494,0.008574929257125457
Rb2O,2.668717861175537,-0.004411764705882337,0.00588235294117645
SrO,3.6599762439727783,0.0,0.0
Y2O3,3.609989643096924,0.013235294117647078,0.005502437333491118
ZrO2,1.1582708358764648,0.0,0.0
P2O5,3.193249225616455,0.026470588235294135,0.009974014681066536
autoFE_f_0,2.0985870361328125,0.01911764705882355,0.008823529411764704
autoFE_f_1,4.1291279792785645,0.0470588235294118,0.009974014681066557
autoFE_f_2,4.011752605438232,-0.0014705882352941124,0.011764705882352969
autoFE_f_3,4.736782550811768,0.00441176470588236,0.007498558108224688
autoFE_f_4,3.6679608821868896,0.08529411764705883,0.005882352941176495
autoFE_f_5,4.197754859924316,0.05294117647058823,0.014257881933577438
autoFE_f_6,2.8107552528381348,0.01764705882352944,0.007498558108224688
autoFE_f_7,6.509485244750977,0.01470588235294119,0.0065766705220582315
autoFE_f_8,2.716073513031006,0.06323529411764708,0.01282029101041373
autoFE_f_9,6.360353946685791,0.025000000000000022,0.0036021907982105427
