feature,gain,permutation_mean,permutation_std
Na2O,1.0000919103622437,0.002877697841726601,0.003524445673069299
MgO,1.067779541015625,0.0,0.004550039798803395
Al2O3,7.774116039276123,0.02014388489208634,0.005383679693199918
SiO2,2.003908157348633,0.002877697841726601,0.003524445673069299
K2O,1.9310579299926758,0.0,0.004550039798803395
Fe2O3,1.9315972328186035,0.024460431654676262,0.019088488002045458
As2O3,1.4368062019348145,0.002877697841726601,0.0035244456730692993
MnO,1.0333162546157837,0.0,0.0
CuO,0.0,0.0,0.0
ZnO,1.4632574319839478,0.002877697841726601,0.003524445673069299
PbO2,1.894948959350586,0.010071942446043147,0.0035244456730693535
Rb2O,0.702497661113739,0.004316546762589901,0.0035244456730692993
SrO,0.9236747026443481,0.0014388489208633005,0.002877697841726601
Y2O3,6.30775785446167,0.007194244604316525,0.00455003979880343
ZrO2,3.814058780670166,0.004316546762589924,0.00733671872459392
P2O5,1.3586095571517944,0.002877697841726601,0.0035244456730692993
autoFE_f_0,5.53641939163208,0.07338129496402876,0.016022343490158356
autoFE_f_1,5.005570888519287,0.007194244604316525,0.00455003979880343
autoFE_f_2,4.293759822845459,0.0964028776978417,0.028268895977537425
autoFE_f_3,2.30598521232605,0.054676258992805774,0.012543594082131439
autoFE_f_4,1.805806040763855,0.01294964028776977,0.00538367969319993
autoFE_f_5,5.748128890991211,0.037410071942446034,0.013187268186923297
autoFE_f_6,2.3860745429992676,0.043165467625899276,0.012038273763080228
autoFE_f_7,5.154491424560547,0.005755395683453224,0.005383679693199918
autoFE_f_8,2.8012797832489014,0.04460431654676258,0.008389858841504026
autoFE_f_9,3.06980037689209,0.05899280575539569,0.008389858841504066
